date      	time	Q	Flag
2003-09-05	0:00	1.18081056	C
2003-09-06	0:00	1.13550368	C
2003-09-07	0:00	1.12984032	C
2003-09-08	0:00	1.0335632	C
2003-09-09	0:00	0.96843456	C
2003-09-10	0:00	0.92879104	C
2003-09-11	0:00	0.88914752	C
2003-09-12	0:00	1.21195904	C
2003-09-13	0:00	1.51211712	C
2003-09-14	0:00	1.32805792	C
2003-09-15	0:00	1.23744416	C
2003-09-16	0:00	1.07037504	C
2003-09-17	0:00	0.98542464	C
2003-09-18	0:00	1.00241472	C
2003-09-19	0:00	1.0335632	C
2003-09-20	0:00	1.00807808	C
2003-09-21	0:00	0.98542464	C
2003-09-22	0:00	1.02789984	C
2003-09-23	0:00	1.0052464	C
2003-09-24	0:00	1.11001856	C
2003-09-25	0:00	1.07037504	C
2003-09-26	0:00	0.98542464	C
2003-09-27	0:00	0.94011776	C
2003-09-28	0:00	0.97409792	C
2003-09-29	0:00	0.98542464	C
2003-09-30	0:00	0.96560288	C
2003-10-01	0:00	0.98542464	C
2003-10-02	0:00	0.98542464	C
2003-10-03	0:00	0.98542464	C
2003-10-04	0:00	0.98542464	C
2003-10-05	0:00	0.98542464	C
2003-10-06	0:00	0.98542464	C
2003-10-07	0:00	0.99958304	C
2003-10-08	0:00	0.98542464	C
2003-10-09	0:00	1.03922656	C
2003-10-10	0:00	0.98542464	C
2003-10-11	0:00	1.04488992	C
2003-10-12	0:00	1.11285024	C
2003-10-13	0:00	1.08170176	C
2003-10-14	0:00	1.12984032	C
2003-10-15	0:00	1.15249376	C
2003-10-16	0:00	1.1893056	C
2003-10-17	0:00	1.07887008	C
2003-10-18	0:00	1.0335632	C
2003-10-19	0:00	1.0335632	C
2003-10-20	0:00	1.04488992	C
2003-10-21	0:00	1.17797888	C
2003-10-22	0:00	1.11285024	C
2003-10-23	0:00	1.06188	C
2003-10-24	0:00	1.05055328	C
2003-10-25	0:00	1.0335632	C
2003-10-26	0:00	0.95993952	C
2003-10-27	0:00	0.93728608	C
2003-10-28	0:00	0.95710784	C
2003-10-29	0:00	1.0052464	C
2003-10-30	0:00	1.0760384	C
2003-10-31	0:00	1.02506816	C
2003-11-01	0:00	1.12984032	C
2003-11-02	0:00	1.12984032	C
2003-11-03	0:00	1.2459392	C
2003-11-04	0:00	1.57724576	C
2003-11-05	0:00	1.46964192	C
2003-11-06	0:00	1.3167312	C
2003-11-07	0:00	1.18081056	C
2003-11-08	0:00	0.83817728	C
2003-11-09	0:00	1.01374144	C
2003-11-10	0:00	1.1468304	C
2003-11-11	0:00	1.1893056	C
2003-11-12	0:00	1.203464	C
2003-11-13	0:00	1.20629568	C
2003-11-14	0:00	1.16382048	C
2003-11-15	0:00	1.08170176	C
2003-11-16	0:00	1.09586016	C
2003-11-17	0:00	1.27708768	C
2003-11-18	0:00	1.90855232	C
2003-11-19	0:00	1.80378016	C
2003-11-20	0:00	1.5291072	C
2003-11-21	0:00	1.30823616	C
2003-11-22	0:00	1.24027584	C
2003-11-23	0:00	1.24027584	C
2003-11-24	0:00	0.73906848	C
2003-11-25	0:00	1.02789984	C
2003-11-26	0:00	0.9486128	C
2003-11-27	0:00	1.05055328	C
2003-11-28	0:00	0.7928704	C
2003-11-29	0:00	0.7645536	C
2003-11-30	0:00	0.88914752	C
2003-12-01	0:00	0.83251392	C
2003-12-02	0:00	0.8778208	C
2003-12-03	0:00	1.06471168	C
2003-12-04	0:00	0.9061376	C
2003-12-05	0:00	1.09586016	C
2003-12-06	0:00	1.18081056	C
2003-12-07	0:00	0.96843456	C
2003-12-08	0:00	1.0901968	C
2003-12-09	0:00	1.25160256	C
2003-12-10	0:00	0.7362368	C
2003-12-11	0:00	0.70792	C
2003-12-12	0:00	0.69092992	C
2003-12-13	0:00	0.75889024	C
2003-12-14	0:00	0.84384064	C
2003-12-15	0:00	0.91180096	C
2003-12-16	0:00	0.76738528	C
2003-12-17	0:00	0.69092992	C
2003-12-18	0:00	0.78720704	C
2003-12-19	0:00	0.72491008	C
2003-12-20	0:00	0.82968224	C
2003-12-21	0:00	0.98542464	C
2003-12-22	0:00	1.0335632	C
2003-12-23	0:00	1.10152352	C
2003-12-24	0:00	0.99958304	C
2003-12-25	0:00	0.9486128	C
2003-12-26	0:00	0.9627712	C
2003-12-27	0:00	1.11001856	C
2003-12-28	0:00	1.22328576	C
2003-12-29	0:00	1.54043392	C
2003-12-30	0:00	1.33372128	C
2003-12-31	0:00	1.20629568	C
2004-01-01	0:00	1.17231552	C
2004-01-02	0:00	1.22328576	C
2004-01-03	0:00	1.12984032	C
2004-01-04	0:00	0.97976128	C
2004-01-05	0:00	0.8070288	C
2004-01-06	0:00	0.91180096	C
2004-01-07	0:00	0.78154368	C
2004-01-08	0:00	0.71358336	C
2004-01-09	0:00	0.7220784	C
2004-01-10	0:00	0.78154368	C
2004-01-11	0:00	0.75605856	C
2004-01-12	0:00	0.85799904	C
2004-01-13	0:00	0.94294944	C
2004-01-14	0:00	0.87215744	C
2004-01-15	0:00	0.84667232	C
2004-01-16	0:00	0.85233568	C
2004-01-17	0:00	0.849504	C
2004-01-18	0:00	0.71924672	C
2004-01-19	0:00	0.55784096	C
2004-01-20	0:00	0.69942496	C
2004-01-21	0:00	0.5804944	C
2004-01-22	0:00	0.50403904	C
2004-01-23	0:00	0.72491008	C
2004-01-24	0:00	0.69942496	C
2004-01-25	0:00	0.72491008	C
2004-01-26	0:00	0.71641504	C
2004-01-27	0:00	0.66261312	C
2004-01-28	0:00	0.5946528	C
2004-01-29	0:00	0.60314784	C
2004-01-30	0:00	0.66261312	C
2004-01-31	0:00	0.94294944	C
2004-02-01	0:00	1.19780064	C
2004-02-02	0:00	1.16665216	C
2004-02-03	0:00	0.96843456	C
2004-02-04	0:00	0.95993952	C
2004-02-05	0:00	0.93728608	C
2004-02-06	0:00	0.93162272	C
2004-02-07	0:00	0.88914752	C
2004-02-08	0:00	0.78720704	C
2004-02-09	0:00	0.90330592	C
2004-02-10	0:00	0.93728608	C
2004-02-11	0:00	1.06471168	C
2004-02-12	0:00	0.93728608	C
2004-02-13	0:00	0.91463264	C
2004-02-14	0:00	0.85516736	C
2004-02-15	0:00	0.81835552	C
2004-02-16	0:00	0.9061376	C
2004-02-17	0:00	0.97976128	C
2004-02-18	0:00	1.0335632	C
2004-02-19	0:00	0.99391968	C
2004-02-20	0:00	1.01090976	C
2004-02-21	0:00	1.06471168	C
2004-02-22	0:00	1.0052464	C
2004-02-23	0:00	1.0335632	C
2004-02-24	0:00	1.03922656	C
2004-02-25	0:00	1.07887008	C
2004-02-26	0:00	1.08736512	C
2004-02-27	0:00	1.15532544	C
2004-02-28	0:00	1.32239456	C
2004-02-29	0:00	2.41825472	C
2004-03-01	0:00	10.7320672	C
2004-03-02	0:00	14.86632	C
2004-03-03	0:00	10.6188	C
2004-03-04	0:00	7.8720704	C
2004-03-05	0:00	13.2522624	C
2004-03-06	0:00	29.166304	C
2004-03-07	0:00	18.6041376	C
2004-03-08	0:00	11.043552	C
2004-03-09	0:00	9.6843456	C
2004-03-10	0:00	9.1746432	C
2004-03-11	0:00	8.0419712	C
2004-03-12	0:00	5.3235584	C
2004-03-13	0:00	4.4174208	C
2004-03-14	0:00	4.7005888	C
2004-03-15	0:00	3.5679168	C
2004-03-16	0:00	2.8599968	C
2004-03-17	0:00	2.43807648	C
2004-03-18	0:00	3.0298976	C
2004-03-19	0:00	3.681184	C
2004-03-20	0:00	3.5962336	C
2004-03-21	0:00	3.3696992	C
2004-03-22	0:00	3.1714816	C
2004-03-23	0:00	2.9449472	C
2004-03-24	0:00	3.114848	C
2004-03-25	0:00	3.256432	C
2004-03-26	0:00	4.0776192	C
2004-03-27	0:00	4.7005888	C
2004-03-28	0:00	7.8154368	C
2004-03-29	0:00	9.4578112	C
2004-03-30	0:00	8.0136544	C
2004-03-31	0:00	6.5978144	C
2004-04-01	0:00	5.5784096	C
2004-04-02	0:00	4.8421728	C
2004-04-03	0:00	4.1908864	C
2004-04-04	0:00	3.7661344	C
2004-04-05	0:00	3.4829664	C
2004-04-06	0:00	3.3130656	C
2004-04-07	0:00	3.114848	C
2004-04-08	0:00	2.8883136	C
2004-04-09	0:00	2.81185824	C
2004-04-10	0:00	2.64478912	C
2004-04-11	0:00	2.54001696	C
2004-04-12	0:00	2.38710624	C
2004-04-13	0:00	2.51170016	C
2004-04-14	0:00	2.5909872	C
2004-04-15	0:00	2.33896768	C
2004-04-16	0:00	2.28799744	C
2004-04-17	0:00	2.14358176	C
2004-04-18	0:00	2.17189856	C
2004-04-19	0:00	2.3644528	C
2004-04-20	0:00	2.8883136	C
2004-04-21	0:00	3.5962336	C
2004-04-22	0:00	4.0776192	C
2004-04-23	0:00	3.9360352	C
2004-04-24	0:00	3.6528672	C
2004-04-25	0:00	7.503952	C
2004-04-26	0:00	14.0451328	C
2004-04-27	0:00	11.043552	C
2004-04-28	0:00	8.8348416	C
2004-04-29	0:00	7.0225664	C
2004-04-30	0:00	5.7483104	C
2004-05-01	0:00	4.9837568	C
2004-05-02	0:00	4.5590048	C
2004-05-03	0:00	4.24752	C
2004-05-04	0:00	3.9077184	C
2004-05-05	0:00	3.6245504	C
2004-05-06	0:00	3.3413824	C
2004-05-07	0:00	3.1997984	C
2004-05-08	0:00	3.0582144	C
2004-05-09	0:00	3.1714816	C
2004-05-10	0:00	3.1431648	C
2004-05-11	0:00	2.8883136	C
2004-05-12	0:00	3.0015808	C
2004-05-13	0:00	11.468304	C
2004-05-14	0:00	18.5191872	C
2004-05-15	0:00	14.016816	C
2004-05-16	0:00	10.6471168	C
2004-05-17	0:00	8.5799904	C
2004-05-18	0:00	7.4190016	C
2004-05-19	0:00	6.3429632	C
2004-05-20	0:00	16.0273088	C
2004-05-21	0:00	35.396	C
2004-05-22	0:00	213.79184	C
2004-05-23	0:00	173.865152	C
2004-05-24	0:00	176.98	C
2004-05-25	0:00	132.522624	C
2004-05-26	0:00	98.259296	C
2004-05-27	0:00	77.021696	C
2004-05-28	0:00	62.29696	C
2004-05-29	0:00	112.984032	C
2004-05-30	0:00	111.85136	C
2004-05-31	0:00	86.932576	C
2004-06-01	0:00	76.45536	C
2004-06-02	0:00	62.863296	C
2004-06-03	0:00	52.669248	C
2004-06-04	0:00	45.023712	C
2004-06-05	0:00	39.360352	C
2004-06-06	0:00	35.112832	C
2004-06-07	0:00	31.431648	C
2004-06-08	0:00	27.7787808	C
2004-06-09	0:00	37.661344	C
2004-06-10	0:00	36.245504	C
2004-06-11	0:00	33.696992	C
2004-06-12	0:00	39.077184	C
2004-06-13	0:00	40.209856	C
2004-06-14	0:00	37.944512	C
2004-06-15	0:00	33.413824	C
2004-06-16	0:00	33.98016	C
2004-06-17	0:00	40.493024	C
2004-06-18	0:00	34.546496	C
2004-06-19	0:00	29.73264	C
2004-06-20	0:00	26.3912576	C
2004-06-21	0:00	24.1259136	C
2004-06-22	0:00	21.8888864	C
2004-06-23	0:00	19.82176	C
2004-06-24	0:00	18.122752	C
2004-06-25	0:00	16.848496	C
2004-06-26	0:00	15.291072	C
2004-06-27	0:00	14.0734496	C
2004-06-28	0:00	13.1106784	C
2004-06-29	0:00	12.0912736	C
2004-06-30	0:00	11.1001856	C
2004-07-01	0:00	10.2789984	C
2004-07-02	0:00	9.6560288	C
2004-07-03	0:00	9.7976128	C
2004-07-04	0:00	15.4043392	C
2004-07-05	0:00	22.8233408	C
2004-07-06	0:00	104.77216	C
2004-07-07	0:00	64.279136	C
2004-07-08	0:00	45.873216	C
2004-07-09	0:00	41.342528	C
2004-07-10	0:00	39.926688	C
2004-07-11	0:00	34.546496	C
2004-07-12	0:00	31.997984	C
2004-07-13	0:00	28.599968	C
2004-07-14	0:00	26.3629408	C
2004-07-15	0:00	23.8144288	C
2004-07-16	0:00	21.6340352	C
2004-07-17	0:00	19.0572064	C
2004-07-18	0:00	16.5936448	C
2004-07-19	0:00	14.8946368	C
2004-07-20	0:00	13.5354304	C
2004-07-21	0:00	14.8096864	C
2004-07-22	0:00	17.131664	C
2004-07-23	0:00	14.7813696	C
2004-07-24	0:00	12.7142432	C
2004-07-25	0:00	11.185136	C
2004-07-26	0:00	10.0807808	C
2004-07-27	0:00	9.2312768	C
2004-07-28	0:00	8.5233568	C
2004-07-29	0:00	7.9003872	C
2004-07-30	0:00	7.645536	C
2004-07-31	0:00	7.6172192	C
2004-08-01	0:00	17.1033472	C
2004-08-02	0:00	37.095008	C
2004-08-03	0:00	33.130656	C
2004-08-04	0:00	33.696992	C
2004-08-05	0:00	32.281152	C
2004-08-06	0:00	28.0619488	C
2004-08-07	0:00	24.8055168	C
2004-08-08	0:00	22.0021536	C
2004-08-09	0:00	19.9916608	C
2004-08-10	0:00	17.556416	C
2004-08-11	0:00	15.291072	C
2004-08-12	0:00	13.5354304	C
2004-08-13	0:00	11.8364224	C
2004-08-14	0:00	10.2789984	C
2004-08-15	0:00	8.8631584	C
2004-08-16	0:00	8.0419712	C
2004-08-17	0:00	9.6843456	C
2004-08-18	0:00	10.7037504	C
2004-08-19	0:00	11.2417696	C
2004-08-20	0:00	10.2223648	C
2004-08-21	0:00	9.0330592	C
2004-08-22	0:00	8.2685056	C
2004-08-23	0:00	7.645536	C
2004-08-24	0:00	7.0508832	C
2004-08-25	0:00	6.512864	C
2004-08-26	0:00	6.2580128	C
2004-08-27	0:00	6.1164288	C
2004-08-28	0:00	5.4651424	C
2004-08-29	0:00	4.9837568	C
2004-08-30	0:00	4.6156384	C
2004-08-31	0:00	4.1625696	C
2004-09-01	0:00	3.9360352	C
2004-09-02	0:00	3.7944512	C
2004-09-03	0:00	3.4829664	C
2004-09-04	0:00	3.1714816	C
2004-09-05	0:00	2.9449472	C
2004-09-06	0:00	3.0015808	C
2004-09-07	0:00	2.9449472	C
2004-09-08	0:00	2.8599968	C
2004-09-09	0:00	2.83168	C
2004-09-10	0:00	2.63063072	C
2004-09-11	0:00	2.33047264	C
2004-09-12	0:00	2.08977984	C
2004-09-13	0:00	1.911384	C
2004-09-14	0:00	3.1997984	C
2004-09-15	0:00	94.011776	C
2004-09-16	0:00	100.52464	C
2004-09-17	0:00	101.657312	C
2004-09-18	0:00	102.223648	C
2004-09-19	0:00	87.78208	C
2004-09-20	0:00	77.8712	C
2004-09-21	0:00	67.96032	C
2004-09-22	0:00	58.898944	C
2004-09-23	0:00	50.97024	C
2004-09-24	0:00	44.740544	C
2004-09-25	0:00	39.360352	C
2004-09-26	0:00	34.829664	C
2004-09-27	0:00	31.14848	C
2004-09-28	0:00	27.8354144	C
2004-09-29	0:00	25.343536	C
2004-09-30	0:00	23.3047264	C
2004-10-01	0:00	21.9172032	C
2004-10-02	0:00	20.8411648	C
2004-10-03	0:00	19.5102752	C
2004-10-04	0:00	18.0094848	C
2004-10-05	0:00	16.7918624	C
2004-10-06	0:00	15.8007744	C
2004-10-07	0:00	14.9229536	C
2004-10-08	0:00	14.2716672	C
2004-10-09	0:00	13.592064	C
2004-10-10	0:00	12.8558272	C
2004-10-11	0:00	12.1195904	C
2004-10-12	0:00	11.5532544	C
2004-10-13	0:00	10.9869184	C
2004-10-14	0:00	10.6188	C
2004-10-15	0:00	10.477216	C
2004-10-16	0:00	10.1090976	C
2004-10-17	0:00	9.5993952	C
2004-10-18	0:00	9.2312768	C
2004-10-19	0:00	9.0047424	C
2004-10-20	0:00	8.636624	C
2004-10-21	0:00	8.0419712	C
2004-10-22	0:00	7.9003872	C
2004-10-23	0:00	8.778208	C
2004-10-24	0:00	8.1835552	C
2004-10-25	0:00	7.7021696	C
2004-10-26	0:00	7.3057344	C
2004-10-27	0:00	7.3340512	C
2004-10-28	0:00	7.2774176	C
2004-10-29	0:00	8.4100896	C
2004-10-30	0:00	10.6754336	C
2004-10-31	0:00	11.043552	C
2004-11-01	0:00	10.5904832	C
2004-11-02	0:00	12.3461248	C
2004-11-03	0:00	13.3938464	C
2004-11-04	0:00	13.0540448	C
2004-11-05	0:00	11.9213728	C
2004-11-06	0:00	10.8170176	C
2004-11-07	0:00	9.7126624	C
2004-11-08	0:00	8.4100896	C
2004-11-09	0:00	7.928704	C
2004-11-10	0:00	7.78712	C
2004-11-11	0:00	7.3057344	C
2004-11-12	0:00	6.8243488	C
2004-11-13	0:00	6.5411808	C
2004-11-14	0:00	6.3146464	C
2004-11-15	0:00	6.2013792	C
2004-11-16	0:00	6.2013792	C
2004-11-17	0:00	6.2013792	C
2004-11-18	0:00	6.229696	C
2004-11-19	0:00	6.5411808	C
2004-11-20	0:00	8.0419712	C
2004-11-21	0:00	8.6649408	C
2004-11-22	0:00	8.7498912	C
2004-11-23	0:00	8.8348416	C
2004-11-24	0:00	8.211872	C
2004-11-25	0:00	7.645536	C
2004-11-26	0:00	7.3057344	C
2004-11-27	0:00	7.5605856	C
2004-11-28	0:00	7.7588032	C
2004-11-29	0:00	7.503952	C
2004-11-30	0:00	6.8526656	C
2004-12-01	0:00	6.3995968	C
2004-12-02	0:00	6.512864	C
2004-12-03	0:00	6.3146464	C
2004-12-04	0:00	6.654448	C
2004-12-05	0:00	6.4279136	C
2004-12-06	0:00	6.5978144	C
2004-12-07	0:00	7.220784	C
2004-12-08	0:00	7.503952	C
2004-12-09	0:00	7.7021696	C
2004-12-10	0:00	7.8437536	C
2004-12-11	0:00	7.8154368	C
2004-12-12	0:00	7.7021696	C
2004-12-13	0:00	7.1358336	C
2004-12-14	0:00	5.3518752	C
2004-12-15	0:00	5.9182112	C
2004-12-16	0:00	6.5411808	C
2004-12-17	0:00	5.4368256	C
2004-12-18	0:00	4.8988064	C
2004-12-19	0:00	2.61080896	C
2004-12-20	0:00	3.5396	C
2004-12-21	0:00	3.398016	C
2004-12-22	0:00	3.256432	C
2004-12-23	0:00	3.1431648	C
2004-12-24	0:00	3.0582144	C
2004-12-25	0:00	3.822768	C
2004-12-26	0:00	3.5679168	C
2004-12-27	0:00	3.5112832	C
2004-12-28	0:00	3.5396	C
2004-12-29	0:00	3.6245504	C
2004-12-30	0:00	3.8510848	C
2004-12-31	0:00	3.7661344	C
2005-01-01	0:00	3.681184	C
2005-01-02	0:00	3.3413824	C
2005-01-03	0:00	3.256432	C
2005-01-04	0:00	3.0015808	C
2005-01-05	0:00	2.81468992	C
2005-01-06	0:00	2.58249216	C
2005-01-07	0:00	2.7325712	C
2005-01-08	0:00	2.68160096	C
2005-01-09	0:00	2.9166304	C
2005-01-10	0:00	2.76371968	C
2005-01-11	0:00	2.8599968	C
2005-01-12	0:00	2.8599968	C
2005-01-13	0:00	2.53152192	C
